diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,ImageFilename
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},e5e973b53d17bc6c8c3da6001d843884d9ae91b2,2D,"(1.0, 1.0)","(1440, 2208)",57.52932895531401,0.0,230.0,a73a18626252335621ed3f0c25a7a9b38e811a44,"(1.0, 1.0)","(1440, 2208)","(0, 0, 1440, 2208)",3179520,1,"(719.5, 1103.5)","(719.5, 1103.5)",0.0,125.0,16435653378.0,2.5541953830191826,57.0,2.9480068735545495,230.0,34.74570464120472,57.52932895531401,53.0,0.0,230.0,27.62534054221955,71.89732066513663,0.6956462055131635,16435653378.0,0.19184933244848035,1859.6010287767524,11.113165942869049,366.2728381869647,29.889082879793854,10.835854863114088,0.1316950356099241,0.975983690367886,0.07872410893584783,0.38527973178015884,0.1254636569705252,0.9637342697759208,0.963575144524311,0.9989241502410617,0.9931132893904333,-0.8345320439792229,0.9929289692919319,0.07029614487362684,2.904673109962295,0.16983257271140523,2.976801185449656,0.9875873156131365,0.22885973994023834,5.80934621992459,2.893958274246498,2.7418874746810036,3.7474133294004726,2085588.0883856684,0.6559443212766922,2.128598647882513,609988.7895065922,2.744201004185027,11.17579666113124,73.03806863929147,774.6813440393519,24.460942263530278,0.32759268865096025,0.02326650302666983,0.31277087761514644,0.00700163067418419,35049.38591467911,0.15225799096223014,3.9032664175216234,16.382924956569,2366.381162910674,14364.902928974756,1129.0126464065243,0.26171502662797375,6.586892330493347,48354.78836251134,0.2103558503630116,0.07240298850140901,2173.0679335127043,0.4719835007995983,7.629804359330699,0.12783513494869905,4397.187004413189,0.15776925852725734,4.093655202379807,16.29259804097449,34323933.61465322,260168488.15180653,16472773.310436787,0.27170511437086525,11225.155932689893,0.4027539712493234,0.6596666340993684,10.272697634779783,0.18313977480516477,4.917934641442446,0.008765788546698872,34310919.398378745,1989.334137209598,2.5170699455161533e-05,3.0669577241636565,0.005994711005342309,0.001099325330868343,patient_UVSPTMWBZC_hospital_43_NFF_image_2.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},2c0951bcde8194be6e2587105f9469162970d0f4,2D,"(1.0, 1.0)","(2571, 2571)",29.171349466667454,0.0,230.0,00007e6cf9b3babcd153897260bfd3ca94a099f2,"(1.0, 1.0)","(2571, 2571)","(0, 0, 2571, 2571)",6610041,1,"(1285.0, 1285.0)","(1285.0, 1285.0)",0.0,74.0,11581887952.0,1.7671210098756862,53.0,2.682075780878608,230.0,25.563653604751817,29.171349466667454,21.0,0.0,230.0,20.316780195369624,41.85887990027282,0.7896455512978973,11581887952.0,0.36575500987303683,901.1981967990249,4.566610098410668,67.04798209580353,10.343243282627526,4.65777911813152,0.06750152075549393,0.9714298875177431,0.059063960676178195,0.3218032096667741,0.06398336098646114,0.9711130576944884,0.9710599884560185,0.9993566115020386,0.9946792902678858,-0.8091809574426105,0.9709338147683086,0.05713405837964922,1.8490648100567753,0.34135166276392326,2.1049378635822684,0.9761960482874716,0.5314918367301991,3.698129620113549,2.043330919889174,1.1813201597217533,2.7587630550316438,4645897.706738127,0.7028545975339832,1.6698137553634036,2417655.6112161786,1.1810513422897069,4.598260434390649,74.5238664934151,320.53924778983975,47.646429894469584,0.6133423004270775,0.02013615563920417,0.12094353135843389,0.00996413871432176,93024.6092301364,0.2424363121563417,1.385554104770499,8.056513429110453,9225.261804115598,14102.138865739194,8541.948380594782,0.3134795520521403,6.020440438979392,68971.18928544465,0.1787438351594539,0.058067680669454246,8921.554657772507,0.42524287483675494,3.5524599318874337,0.13108657166508333,11275.832367160327,0.24666577050642763,1.4510233569824542,8.077483429221447,315303891.56600964,583588134.657931,280672641.42711645,0.3122072147282394,13940.107912410036,0.30494843725876747,0.5712872347482988,4.674917933675452,0.1734709001381992,4.914840481031469,0.006915690840646828,315282982.77800196,3790.566235210613,1.1506608075639925e-05,3.7011048960941233,0.0015442612095022642,0.0011706035826472211,patient_GHXSWJQAXM_hospital_43_NFF_image_1.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},004a395f39c8ad766df88d5cd25c504ea0b811c8,2D,"(1.0, 1.0)","(1576, 2560)",112.30285805639276,0.0,230.0,0a77690a00e57dd99e6655fca7bfd62c92b655d3,"(1.0, 1.0)","(1576, 2560)","(0, 0, 1576, 2560)",4034560,1,"(787.5, 1279.5)","(787.5, 1279.5)",35.0,172.0,59816290845.0,2.8934953861658794,66.0,2.324517770660788,230.0,38.474612688595336,112.30285805639276,114.0,0.0,230.0,28.213984852632894,121.76196563879638,-0.24438932496154225,59816290845.0,0.14831598383263048,2214.0443485891283,28.65181377306444,474.0918148900781,-12.547259425330143,14.148248403464631,0.15643128440299445,0.9781279203612778,0.1201962743408577,0.5245229235820782,0.14194504767553207,0.9419045165815114,0.941829766075625,0.9986138979802617,0.9892541217755959,-0.7890213354623163,0.99477648499401,0.11496532895636857,5.015362304594364,0.11667058584624007,3.50309575781511,0.9918725664272339,0.18206072819106564,10.030724609188725,3.3803899580079264,3.5761699219669065,4.584705218909174,1990984.0117777404,0.49348231573647194,3.1493923203177054,598389.7357317774,3.5799103644794874,28.72559758684962,68.26252676871827,1907.7849438352632,6.774109968366636,0.09650202586895695,0.030392816048359247,0.9460727535584503,0.002716248995221448,78484.47512610625,0.167281639342204,3.2236520209238155,32.91282668512192,910.8120301848094,23096.332093762965,90.72672165066162,0.08220337447686304,6.125971255067165,112053.70363674179,0.23847887374411336,0.11634112517845813,836.436612297841,0.5010619121184321,16.541905985531564,0.042199697840543136,10426.984372003835,0.16661847829983756,3.2822084097966617,33.35441035474592,23125419.53106424,754840544.689821,1156979.4690354252,0.0816524245564317,22634.939437519974,0.36169606004346394,0.6242721734230878,20.35622866220752,0.052697444587321354,5.1491063719167,0.015510985088832488,23121263.09370902,1521.3731249643504,1.3956647641096928e-05,4.5656501464826,0.009564151680274621,0.000497502198605173,patient_DSMCSEUNOF_hospital_43_NFF_image_3.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},8b6f1a335c53cfca0cf84b93ee24f724dff9b07d,2D,"(1.0, 1.0)","(2991, 2991)",106.15420495298444,0.0,230.0,4fd0d295150286aa8de0a58fc1b4597288f71264,"(1.0, 1.0)","(2991, 2991)","(0, 0, 2991, 2991)",8946081,1,"(1495.0, 1495.0)","(1495.0, 1495.0)",54.0,152.0,114426319476.0,2.5794416969887592,52.0,3.175283737738462,230.0,31.289126843755334,106.15420495298444,110.0,0.0,230.0,22.021841941587677,113.09581940796654,-0.6858650227988149,114426319476.0,0.1891696288684348,1521.9491383591535,25.176362073079936,261.29878050439453,-16.97777148536985,9.584681950682985,0.15122151247349877,0.9689347432412833,0.14852631448706063,0.6083983595985767,0.1290777323347692,0.926047015516367,0.9259868371746307,0.9985066449227871,0.9865157969200189,-0.7246833420807416,0.9880062044109884,0.14734493389835604,4.776818686700699,0.13942063433068824,3.289275323801817,0.9852396428429191,0.21347028305417143,9.553637373401399,3.1376371072416025,2.4339758657891206,4.551186736494309,3408449.743960847,0.3809992044517423,3.5770783406337303,1692326.822596956,2.4356223353063857,25.25199067614076,64.65034588888699,1549.9988750381312,7.133795178645251,0.09875004835154598,0.03440121204449454,0.9950421476541987,0.002341437273485321,283800.39177119994,0.21423962594347068,1.833032782272963,30.37122018563295,538.8889432793726,8778.73707517105,117.99856060899967,0.05286417116445407,5.721165080332331,291074.1591082163,0.21888375422201356,0.14813265719369187,492.80896356998284,0.47439589331951787,14.66328057620236,0.024781559912174983,37566.76066410677,0.206662856143795,1.923118435713808,31.011260988678497,33817453.295035705,859977678.3362123,2533461.705603469,0.049316352737099896,58299.278856627316,0.3207169121490352,0.5867677569321024,18.404978844475202,0.028485562121388627,5.08741477730315,0.02031928841243445,33815031.24555905,4568.203953703021,3.90848567346812e-06,6.208650204848591,0.008028932957886217,0.00016892667018892792,patient_IEUAFGLDKF_hospital_43_AFF_image_1.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},4752e90802797b23c219e3f012df53d14ba1d95f,2D,"(1.0, 1.0)","(2256, 2878)",91.80527473028452,0.0,230.0,ac9631153cf9ddbb2ed7bd4cea45b63c5b0039f8,"(1.0, 1.0)","(2256, 2878)","(0, 0, 2256, 2878)",6492768,1,"(1127.5, 1438.5)","(1127.5, 1438.5)",0.0,177.0,81640962838.0,3.0479889058419483,112.0,1.848193017015959,230.0,56.74040856671447,91.80527473028452,95.0,0.0,230.0,50.60689337144336,112.13446530239294,0.16924803813023456,81640962838.0,0.13258781766539468,4145.92984035055,24.1200290431721,1119.1019138814822,25.347584970582027,24.976114455662728,0.11994203236687544,0.9904411302529881,0.07966954777637593,0.3926112876211547,0.11348289431211098,0.9626674191693259,0.962506885887753,0.9989762200952363,0.9929676750111054,-0.85688134032052,0.9972927053454634,0.07260391572176694,4.231546480257368,0.11663466567773068,3.484391444670911,0.994280722451093,0.18208106243480035,8.463092960514736,3.3975186304502896,6.2740141220074,4.281872309996032,4089520.6652675713,0.6298578149207813,1.9583816899976414,860861.9397277094,6.276620701307595,24.17193699205023,72.60141498972395,1677.446571785716,19.846573323750984,0.2573664618815769,0.020538211484693685,0.5992809919666924,0.003968741936645022,65799.74158658729,0.13664306216047642,4.7731125437107735,33.79528181622108,2765.86426845494,32523.464143390396,1428.0118714148518,0.11619983702960035,7.224653735608457,64902.69764816752,0.13538449723784038,0.07438237435867107,2575.4386678372166,0.363122022400997,13.596391840759008,0.03274075306036097,5763.95680705191,0.14113508342438566,4.508617187327628,37.58660626836435,81396298.97869736,1180486591.873286,36295643.42476577,0.08994802366093715,11082.27541625857,0.2713583598496222,0.5374982156043229,20.98738540956777,0.043599423304157475,5.999748935571875,0.006290075357690279,81371024.14521648,2074.431740445689,1.6988935374908507e-05,2.704829026348945,0.010951299629107255,0.0006331679666231018,patient_ICRBFMHKPB_hospital_43_NFF_image_4.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},c564b028c11c8ee5ac401b3276e90e30e59c6cb1,2D,"(1.0, 1.0)","(2266, 2936)",29.486427427364838,0.0,230.0,5abf3f904d53d6610327bc7a07e07af78fa19d7f,"(1.0, 1.0)","(2266, 2936)","(0, 0, 2266, 2936)",6652976,1,"(1132.5, 1467.5)","(1132.5, 1467.5)",0.0,74.0,11388174886.0,1.780617519862256,48.0,2.6704920966175236,230.0,24.5383881607928,29.486427427364838,22.0,0.0,230.0,19.641590338482526,41.37319742505864,0.7938783427270112,11388174886.0,0.35463416461892977,842.2920627436271,4.491211267430139,59.74238020708934,9.542198632877334,4.417348219915771,0.06295077377825721,0.9718990054449272,0.05893997132785589,0.32259233480536487,0.059448434547230596,0.9708495220653471,0.9708182371703024,0.9993880568639001,0.9946653162230467,-0.8106318671732025,0.9717101850960442,0.05794758380316904,1.8446170013116248,0.3311956178075575,2.118175261077009,0.9773049189797611,0.5137996412525376,3.6892340026232495,2.0575151008105177,1.1200747484235065,2.7678946210934754,4644847.119664643,0.6981608109911479,1.6661475604949305,2359372.5859897886,1.1200445393791658,4.521503309195764,74.43175234661902,311.49034011245493,46.87989272973416,0.6015087859613688,0.019921389110832577,0.12125335368058028,0.009593895085158361,96257.5285190815,0.24647550267576343,1.2629212888645842,8.367554135767445,8703.59215138806,12844.7615067173,8039.00978415981,0.2810592387193731,6.034286000432395,67042.08500563528,0.17066136108180063,0.058715528208729446,8406.529813295612,0.413148277860264,3.565752035808511,0.116715413063039,10351.683970221093,0.23282616158478425,1.4704653516767427,8.676817885337712,306334427.61525834,577236870.6493106,271319046.14164376,0.29356729722699265,12822.144688603496,0.2883908299094374,0.5551417427046784,4.86975856396075,0.161455648058465,5.098450218230256,0.0066828739499436044,306312036.61677045,3675.788350359295,1.2027429462333023e-05,3.6359471049133503,0.001462933615616309,0.0011627624837098173,patient_ZYKAOFFICT_hospital_43_NFF_image_4.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},aa6818ebac67e1e382117e75c0cc0d3a1bdbe345,2D,"(1.0, 1.0)","(2990, 2990)",32.99369481325712,0.0,230.0,dfd7cb8e41cb818e2272c31fcefd1a7e22ad09a4,"(1.0, 1.0)","(2990, 2990)","(0, 0, 2990, 2990)",8940100,1,"(1494.5, 1494.5)","(1494.5, 1494.5)",0.0,107.0,27036899343.0,1.965826741448116,61.0,3.165181387688507,230.0,36.94400064711884,32.99369481325712,1.0,0.0,230.0,26.91857576643504,54.99297994675839,1.1496957731176656,27036899343.0,0.37840375582754715,1935.6439459942221,6.915905005444165,384.1721319960921,43.64583784166518,10.182978660165436,0.03469765158118413,0.9932084030042513,0.027482973585744974,0.17875031485355888,0.03393136694202027,0.9868228256029878,0.9867607103865772,0.9996786200822351,0.9975430693426564,-0.912607708055585,0.9860786592731843,0.025687333164595684,2.0925665411634804,0.3731257114604136,2.137973001997297,0.9960318702211866,0.5834785712481538,4.185133082326962,2.1070524677913722,2.5544190779366547,2.467338438976207,7633056.789007058,0.8537999338941464,0.7910711565240482,3382967.4174738536,2.554081851428174,6.931698526862116,78.00730998534692,505.84567353832733,50.95181611873736,0.6345826425353798,0.015572313778466879,0.14980649483755182,0.008238115340156319,39173.51725969553,0.16501685646217618,2.714169514839349,18.757215685067138,33060.81429006488,61728.947142831326,30900.994186881777,0.1471345620041117,7.149295109245667,33097.75133798913,0.13909194479218,0.026590362523909127,31592.246395706068,0.3736778914337674,7.756254412336875,0.04334877592039106,4134.988347547074,0.17457520676969832,2.451818886675383,20.556869036561682,662536393.5745165,1646507866.6631765,588863064.0319947,0.11039106647855211,7227.900954150131,0.3051549841319822,0.5717241786288566,11.636310549606536,0.06424310189092299,5.409442426102645,0.002649411080412971,662393930.8310747,1383.212008740327,3.750671673414359e-05,1.2038080105932432,0.0015416516067168595,0.001846267995932572,patient_HGGEYYVSEJ_hospital_43_NFF_image_2.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},3a0465158f629dd9650513bc5908b01220e99ed2,2D,"(1.0, 1.0)","(2913, 2913)",26.92916656502351,0.0,230.0,ee639f77506f78c0becd5692a9cfe8aaffd548be,"(1.0, 1.0)","(2913, 2913)","(0, 0, 2913, 2913)",8485569,1,"(1456.0, 1456.0)","(1456.0, 1456.0)",0.0,79.0,15820283461.0,1.7755070124575294,46.0,3.8189378473408544,230.0,27.965028636274038,26.92916656502351,9.0,0.0,230.0,21.062734507367082,43.17840998886005,1.1736429439356957,15820283461.0,0.3871931467120469,1139.1950772793098,4.7951306391619255,159.99317545740217,19.880791265254043,5.723933932538795,0.05010558057222297,0.9826446236759022,0.041418364056611506,0.24587748619056196,0.04837764710012078,0.9798081489528342,0.9797807531925254,0.999540452730707,0.996279387721574,-0.8626963060690211,0.9763535175653605,0.04000233777570431,1.8375727279969472,0.3737520637943143,2.0195071431948444,0.9884485542122251,0.5702189765688034,3.675145455993894,1.9771973320703702,1.4435098782777545,2.49147791616555,6650776.70301367,0.7837749835059581,1.2347760477975376,3285554.162752197,1.443629143932051,4.8197673014031235,76.47725438329475,340.5890435868237,50.86291641784488,0.6416861962371997,0.018273427919255812,0.12716468244855814,0.009399365744960444,71785.67207205408,0.20780389580093436,1.7646748022752148,11.040806171332495,19965.39378410771,30875.029726036875,18269.387562322052,0.24681810428468062,6.125094948224093,66510.08363658871,0.19158155513302136,0.04071972073999987,19349.867826245747,0.44306164427151856,5.006522688814668,0.10827259987149448,10137.348301657481,0.2124206001646477,1.9101963392352566,11.313287094273202,299955825.4125474,639477967.0275967,259419043.19389898,0.26012593963066455,14735.344362257192,0.30876819064721817,0.5749733169773571,6.722560280183822,0.14411460889509753,5.033851936103629,0.005624018848942245,299924209.4458904,2895.591674725028,1.626881833606573e-05,2.3269768906003403,0.0013268062160989344,0.0013168864415350765,patient_HVTVEBPSCC_hospital_43_NFF_image_1.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},f93209d03df97801a93f94abe15542b4cd35a2bb,2D,"(1.0, 1.0)","(2936, 2936)",19.871368717935393,0.0,230.0,e77c185b48319df24b88a03c1127a688f751da99,"(1.0, 1.0)","(2936, 2936)","(0, 0, 2936, 2936)",8620096,1,"(1467.5, 1467.5)","(1467.5, 1467.5)",0.0,69.0,11028824958.0,1.4373203436566708,35.0,3.8005089361943702,230.0,24.55621303945311,19.871368717935393,0.0,0.0,230.0,16.76191735335136,35.76914594898245,1.3660223706353083,11028824958.0,0.5099488826815843,884.5605071954645,3.5942026839765706,81.94044979358334,13.783855790349108,4.18216665121575,0.0500573173105891,0.9763449899831994,0.04520113448129248,0.2640075547723282,0.04799038870221446,0.9777780921204903,0.9777472091186867,0.9995180044976886,0.9959191974595364,-0.8278407165255983,0.9525830714044814,0.044068477475605786,1.6003672522478287,0.49642938490552235,1.6852370175553948,0.983300742814019,0.6873837074512777,3.200734504495657,1.6383567188707673,1.0580559921315849,2.1518596876116898,6586759.794538947,0.7641167563028239,1.3108706574361426,4395808.323807995,1.0577277189974743,3.618036736481821,75.99072052097796,244.90828524415505,58.570735274610875,0.7377837082025449,0.01813120835898431,0.10093812285919328,0.010569872280424822,92319.81215779998,0.2393443488352006,1.3591897658889789,9.649096772265082,22302.219480063835,24715.401021497633,21977.63758204955,0.23830844162380163,6.016453823540828,65840.64185366756,0.1694937434972033,0.04478120081261276,21785.88992414165,0.4116732341410201,4.084869438142635,0.09868937854590248,9861.296143749434,0.22316683587737474,1.5383110352108693,9.456775595184213,819932702.1994207,1016638975.1566489,796767161.3785974,0.2722415009740842,12705.160722368064,0.28752513628967286,0.5542664697642316,5.319761078237364,0.14805573507369474,5.15426755563333,0.005126161007951651,819894646.8674941,2968.5822237077846,1.5757136720034303e-05,2.63687867291742,0.0010590633750906992,0.0012624790832165432,patient_XWSXMJCZWA_hospital_43_NFF_image_1.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},f3d726a9f0dd874624bdcaad8d417f1c373749c1,2D,"(1.0, 1.0)","(1392, 2688)",69.7402028384989,0.0,230.0,eceef9cfacab8e6259601775d3d3ae89bf1053d7,"(1.0, 1.0)","(1392, 2688)","(0, 0, 1392, 2688)",3741696,1,"(695.5, 1343.5)","(695.5, 1343.5)",0.0,144.0,27862194194.0,2.7797598499473923,76.0,2.5461712385662914,230.0,41.39121395086934,69.7402028384989,69.0,0.0,230.0,34.573681190064335,86.29257081067279,0.46930410076334883,27862194194.0,0.16492127312414256,2582.7118851600076,15.15235422629586,626.0586929876138,34.652599388858945,15.621493578881246,0.1807292541111054,0.9771251807037347,0.12318469061337699,0.5321304476276407,0.1654552099979799,0.9417813621346575,0.9415970694267346,0.9984575153681975,0.9890951120437166,-0.7907622034829358,0.9938075061511504,0.11392659278933966,3.3603813186164913,0.138400356074399,3.361415409118492,0.9887740339432022,0.24640286511106224,6.720762637232982,3.23111189550946,3.950555708248088,4.353330393421841,1826775.86519001,0.4882213480705033,3.012629253958288,617085.2679635118,3.954451709871262,15.240220210300356,68.15273661997126,921.9858863467261,24.661726841076028,0.32038077007327787,0.02819835977071157,0.5801697261485456,0.005421548169985171,68074.67611963872,0.1567331342728994,3.3006703702258244,24.397716236978244,1478.7732702831067,5608.7689222876,1125.377662659012,0.09919343572866349,6.316770242849491,87470.38961682506,0.20124187891834364,0.1161322298765052,1403.4551939601886,0.4551891932571766,11.36115949954598,0.03982592492827255,7468.079662167897,0.15847720189644124,3.4440474654003914,24.803964009846364,23133566.27688651,203372243.12136066,11681117.798755415,0.08873868293643149,16219.891350479586,0.3441959797657157,0.6091551174248304,15.098659180358949,0.05440186782685182,5.3824962845919835,0.012594288793103448,23127261.747045796,2368.4439245752933,1.698287356786195e-05,4.739416319904227,0.01070250489813761,0.0007367324265294571,patient_TADAVBRLUJ_hospital_43_NFF_image_5.png
