diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,ImageFilename
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},334db786db560e6d09705a97b82b1b389dd184d4,2D,"(1.0, 1.0)","(1440, 2208)",0.25012751719701753,0.0,1.0,a73a18626252335621ed3f0c25a7a9b38e811a44,"(1.0, 1.0)","(1440, 2208)","(0, 0, 1440, 2208)",3179520,1,"(719.5, 1103.5)","(719.5, 1103.5)",0.0,0.5434782608695652,310692.88049149356,-3.2034265038149176e-16,0.24782608695652175,2.9480068735545553,1.0,0.15106828104871609,0.25012751719701753,0.23043478260869565,0.0,1.0,0.12011017627051963,0.31259704637015934,0.6956462055131627,310692.88049149356,1.0,0.03515313854020323,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.023429777245334453,3164969.4290157007,0.9954236579784685,0.020613607339020353,3179520.0,0.0,1.0,80.89677058172303,80.89677058172303,80.89677058172303,1.0,0.012381115101153556,0.012381115101153556,0.012381115101153556,2735.5,1.0,0.0,1.0,2228466.518234165,2228466.518234165,2228466.518234165,1.0,4.510944281248767,993.8641349054017,0.5224469796834115,0.0008603499899355878,111217.26447864143,0.00045106978812671,0.00045106978812671,0.00045106978812671,1.0,1.0,0.0,1.0,10109347430400.0,10109347430400.0,10109347430400.0,1.0,1.0,1.0,9.891835322553877e-14,9.891835322553877e-14,9.891835322553877e-14,-3.2034265038149176e-16,3.1451288244766507e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_UVSPTMWBZC_hospital_43_NFF_image_2.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},795458068a8d36aad6008849149ba296e17e43d9,2D,"(1.0, 1.0)","(2571, 2571)",0.126831954202902,0.0,1.0,00007e6cf9b3babcd153897260bfd3ca94a099f2,"(1.0, 1.0)","(2571, 2571)","(0, 0, 2571, 2571)",6610041,1,"(1285.0, 1285.0)","(1285.0, 1285.0)",0.0,0.3217391304347826,218939.2807561433,-3.2034265038149176e-16,0.23043478260869565,2.6820757808786078,1.0,0.11114632002066008,0.126831954202902,0.09130434782608696,0.0,1.0,0.08833382693638957,0.181995130001186,0.789645551297899,218939.2807561433,1.0,0.017035882737221623,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.01675772159625661,6589512.962674967,0.9968944160369,0.013984790311759946,6610041.0,0.0,1.0,80.93000345988777,80.93000345988777,80.93000345988777,1.0,0.012369700174120247,0.012369700174120247,0.012369700174120247,3856.0,1.0,0.0,1.0,4406908.375024314,4406908.375024314,4406908.375024314,1.0,5.664013905717618,1286.499902742657,0.5001944957678772,0.0005833549292659456,275311.28124999814,0.000319963818555909,0.000319963818555909,0.000319963818555909,1.0,1.0,0.0,1.0,43692642021681.0,43692642021681.0,43692642021681.0,1.0,1.0,1.0,2.2887148813381066e-14,2.2887148813381066e-14,2.2887148813381066e-14,-3.2034265038149176e-16,1.512849920295502e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_GHXSWJQAXM_hospital_43_NFF_image_1.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},5976c4d4e2b9f86e69690e3d7b25d908ffb6e8c9,2D,"(1.0, 1.0)","(1576, 2560)",0.4882732958973598,0.0,1.0,0a77690a00e57dd99e6655fca7bfd62c92b655d3,"(1.0, 1.0)","(1576, 2560)","(0, 0, 1576, 2560)",4034560,1,"(787.5, 1279.5)","(787.5, 1279.5)",0.15217391304347827,0.7478260869565218,1130742.738090738,-3.2034265038149176e-16,0.28695652173913044,2.324517770660789,1.0,0.1672809247330232,0.4882732958973598,0.4956521739130435,0.0,1.0,0.12266949935927371,0.5293998506034627,-0.2443893249615412,1130742.738090738,1.0,0.041853390332497686,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.021267367144262854,4018057.8707407997,0.9959098069531249,0.01842168899347801,4034560.0,0.0,1.0,80.90776193686548,80.90776193686548,80.90776193686548,1.0,0.012377338346072648,0.012377338346072648,0.012377338346072648,3101.5,1.0,0.0,1.0,2870427.0423216447,2870427.0423216447,2870427.0423216447,1.0,4.441561294861232,1152.0804111245466,0.5285563267532156,0.0007687331456218273,135078.24084078922,0.0003978407674110242,0.0003978407674110242,0.0003978407674110242,1.0,1.0,0.0,1.0,16277674393600.0,16277674393600.0,16277674393600.0,1.0,1.0,1.0,6.143383728041498e-14,6.143383728041498e-14,6.143383728041498e-14,-3.2034265038149176e-16,2.478585025380711e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_DSMCSEUNOF_hospital_43_NFF_image_3.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},f423759281862d161a11fb93a1224a928b3c2ba3,2D,"(1.0, 1.0)","(2991, 2991)",0.46154002153471513,0.0,1.0,4fd0d295150286aa8de0a58fc1b4597288f71264,"(1.0, 1.0)","(2991, 2991)","(0, 0, 2991, 2991)",8946081,1,"(1495.0, 1495.0)","(1495.0, 1495.0)",0.23478260869565218,0.6608695652173913,2163068.4210964055,-3.2034265038149176e-16,0.22608695652173916,3.1752837377384484,1.0,0.1360396819293709,0.46154002153471513,0.4782608695652174,0.0,1.0,0.09574713887646814,0.4917209539476803,-0.6858650227988157,2163068.4210964055,1.0,0.028770305072951932,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.014696480716499958,8922192.967914442,0.9973297769061606,0.012023145340904066,8946081.0,0.0,1.0,80.9398306364541,80.9398306364541,80.9398306364541,1.0,0.012366325683231339,0.012366325683231339,0.012366325683231339,4486.0,1.0,0.0,1.0,5964303.3750209,5964303.3750209,5964303.3750209,1.0,5.773169099194019,1496.4999164019396,0.5001671821437785,0.0005014486231457104,372628.78124999907,0.00027502658601431356,0.00027502658601431356,0.00027502658601431356,1.0,1.0,0.0,1.0,80032365258561.0,80032365258561.0,80032365258561.0,1.0,1.0,1.0,1.2494944973440365e-14,1.2494944973440365e-14,1.2494944973440365e-14,-3.2034265038149176e-16,1.1178078982294034e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_IEUAFGLDKF_hospital_43_AFF_image_1.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},d965a8a3cc5ab24d87aed579bfc0c61f3c2368e4,2D,"(1.0, 1.0)","(2256, 2878)",0.39915336839254145,0.0,1.0,ac9631153cf9ddbb2ed7bd4cea45b63c5b0039f8,"(1.0, 1.0)","(2256, 2878)","(0, 0, 2256, 2878)",6492768,1,"(1127.5, 1438.5)","(1127.5, 1438.5)",0.0,0.7695652173913043,1543307.4260491487,-3.2034265038149176e-16,0.4869565217391304,1.8481930170159604,1.0,0.2466974285509324,0.39915336839254145,0.41304347826086957,0.0,1.0,0.2200299711801887,0.48754115348866484,0.16924803813023426,1543307.4260491487,1.0,0.0783729648459461,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.01699655609534611,6472272.438755243,0.9968433245659236,0.014214876124254405,6492768.0,0.0,1.0,80.92885006826056,80.92885006826056,80.92885006826056,1.0,0.012370096017637918,0.012370096017637918,0.012370096017637918,3850.0,1.0,0.0,1.0,4397104.053964543,4397104.053964543,4397104.053964543,1.0,5.160127770565911,1322.1858562244302,0.5075366951537951,0.0005929674370006752,254004.10370867827,0.00032046736276624,0.00032046736276624,0.00032046736276624,1.0,1.0,0.0,1.0,42156036301824.0,42156036301824.0,42156036301824.0,1.0,1.0,1.0,2.3721395266867918e-14,2.3721395266867918e-14,2.3721395266867918e-14,-3.2034265038149176e-16,1.5401751610407148e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_ICRBFMHKPB_hospital_43_NFF_image_4.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},0c4ad8696c86d7d08784f6b57cf139dff47057d3,2D,"(1.0, 1.0)","(2266, 2936)",0.12820185837984724,0.0,1.0,5abf3f904d53d6610327bc7a07e07af78fa19d7f,"(1.0, 1.0)","(2266, 2936)","(0, 0, 2266, 2936)",6652976,1,"(1132.5, 1467.5)","(1132.5, 1467.5)",0.0,0.3217391304347826,215277.4080529303,-3.2034265038149176e-16,0.20869565217391303,2.6704920966175347,1.0,0.10668864417735996,0.12820185837984724,0.09565217391304348,0.0,1.0,0.0853982188629675,0.17988346706547245,0.7938783427270115,215277.4080529303,1.0,0.01592234523144849,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.016832268122148143,6632208.502271465,0.996878464956354,0.01405650771636274,6652976.0,0.0,1.0,80.9296435159243,80.9296435159243,80.9296435159243,1.0,0.012369823502878845,0.012369823502878845,0.012369823502878845,3901.0,1.0,0.0,1.0,4515159.068640646,4515159.068640646,4515159.068640646,1.0,5.131063495598022,1344.6550663333974,0.5084897262706013,0.0005863541368554463,258304.9686884493,0.0003162780363177717,0.0003162780363177717,0.0003162780363177717,1.0,1.0,0.0,1.0,44262089656576.0,44262089656576.0,44262089656576.0,1.0,1.0,1.0,2.2592697447383857e-14,2.2592697447383857e-14,2.2592697447383857e-14,-3.2034265038149176e-16,1.5030867389270605e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_ZYKAOFFICT_hospital_43_NFF_image_4.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},43baf57234d72994cd51aa1794972b449e1dd3fb,2D,"(1.0, 1.0)","(2990, 2990)",0.14345084701416147,0.0,1.0,dfd7cb8e41cb818e2272c31fcefd1a7e22ad09a4,"(1.0, 1.0)","(2990, 2990)","(0, 0, 2990, 2990)",8940100,1,"(1494.5, 1494.5)","(1494.5, 1494.5)",0.0,0.4652173913043478,511094.5055387523,-3.2034265038149176e-16,0.26521739130434785,3.1651813876885075,1.0,0.16062608977008178,0.14345084701416147,0.004347826086956522,0.0,1.0,0.11703728594102185,0.23909991281199297,1.1496957731176662,511094.5055387523,1.0,0.03659062279762234,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.014700750624714234,8916219.967903715,0.9973288853484541,0.012027162124051602,8940100.0,0.0,1.0,80.93981051666088,80.93981051666088,80.93981051666088,1.0,0.012366332591358038,0.012366332591358038,0.012366332591358038,4484.5,1.0,0.0,1.0,5960315.95835424,5960315.95835424,5960315.95835424,1.0,5.772927873803662,1495.9999163739756,0.5001672380622136,0.0005016163130166329,372379.61458333285,0.0002751185835280502,0.0002751185835280502,0.0002751185835280502,1.0,1.0,0.0,1.0,79925388010000.0,79925388010000.0,79925388010000.0,1.0,1.0,1.0,1.2511669006534986e-14,1.2511669006534986e-14,1.2511669006534986e-14,-3.2034265038149176e-16,1.1185557208532343e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_HGGEYYVSEJ_hospital_43_NFF_image_2.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},43fa7136476662f7fa9ae307d1af8ccea15a381a,2D,"(1.0, 1.0)","(2913, 2913)",0.11708333289140659,0.0,1.0,ee639f77506f78c0becd5692a9cfe8aaffd548be,"(1.0, 1.0)","(2913, 2913)","(0, 0, 2913, 2913)",8485569,1,"(1456.0, 1456.0)","(1456.0, 1456.0)",0.0,0.34347826086956523,299060.1788468811,-3.2034265038149176e-16,0.2,3.8189378473408677,1.0,0.12158708102727843,0.11708333289140659,0.0391304347826087,0.0,1.0,0.09157710655377,0.18773221734286982,1.1736429439356952,299060.1788468811,1.0,0.021534878587510554,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.015037660460203082,8462304.967055598,0.9972584003566052,0.012344727024649756,8485569.0,0.0,1.0,80.93821981766926,80.93821981766926,80.93821981766926,1.0,0.012366878766340801,0.012366878766340801,0.012366878766340801,4369.0,1.0,0.0,1.0,5657288.87502146,5657288.87502146,5657288.87502146,1.0,5.754107004124201,1457.4999141630901,0.5001716590837922,0.0005148741351346032,353444.0312500004,0.0002823921043635918,0.0002823921043635918,0.0002823921043635918,1.0,1.0,0.0,1.0,72004881253761.0,72004881253761.0,72004881253761.0,1.0,1.0,1.0,1.388794735284377e-14,1.388794735284377e-14,1.388794735284377e-14,-3.2034265038149176e-16,1.1784713553092315e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_HVTVEBPSCC_hospital_43_NFF_image_1.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},767f57a2dd10cf655547d0e8c9660868b4ebdcba,2D,"(1.0, 1.0)","(2936, 2936)",0.08639725529537137,0.0,1.0,e77c185b48319df24b88a03c1127a688f751da99,"(1.0, 1.0)","(2936, 2936)","(0, 0, 2936, 2936)",8620096,1,"(1467.5, 1467.5)","(1467.5, 1467.5)",0.0,0.3,208484.40374291094,-3.2034265038149176e-16,0.15217391304347827,3.8005089361943463,1.0,0.10676614364979622,0.08639725529537137,0.0,0.0,1.0,0.07287790153631027,0.155518025865141,1.3660223706352994,208484.40374291094,1.0,0.016721370646417138,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.01493531471373664,8596647.96731359,0.9972798408873392,0.012248127247735009,8620096.0,0.0,1.0,80.93870369889152,80.93870369889152,80.93870369889152,1.0,0.012366712621297953,0.012366712621297953,0.012366712621297953,4403.5,1.0,0.0,1.0,5746975.458354624,5746975.458354624,5746975.458354624,1.0,5.75978043504099,1468.9999148356328,0.5001703142285187,0.0005108411785669208,359048.3645833333,0.00028017952799142454,0.00028017952799142454,0.00028017952799142454,1.0,1.0,0.0,1.0,74306055049216.0,74306055049216.0,74306055049216.0,1.0,1.0,1.0,1.3457853459420747e-14,1.3457853459420747e-14,1.3457853459420747e-14,-3.2034265038149176e-16,1.1600798877413894e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_XWSXMJCZWA_hospital_43_NFF_image_1.png
v3.1.0,1.25.2,2.1.1.1,1.4.1,3.9.17,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},f5e0b98dc48616c41d29c02618b4b0764a9fe838,2D,"(1.0, 1.0)","(1392, 2688)",0.3032182732108647,0.0,1.0,eceef9cfacab8e6259601775d3d3ae89bf1053d7,"(1.0, 1.0)","(1392, 2688)","(0, 0, 1392, 2688)",3741696,1,"(695.5, 1343.5)","(695.5, 1343.5)",0.0,0.6260869565217392,526695.5424196599,-3.2034265038149176e-16,0.3304347826086957,2.5461712385663007,1.0,0.17996179978638857,0.3032182732108647,0.3,0.0,1.0,0.15032035300027988,0.3751850904811861,0.4693041007633519,526695.5424196599,1.0,0.048822530910397004,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,0.022427193966466728,3725419.5388187603,0.9956499776622046,0.01959215613377013,3741696.0,0.0,1.0,80.90188941057745,80.90188941057745,80.90188941057745,1.0,0.012379354406183062,0.012379354406183062,0.012379354406183062,3059.5,1.0,0.0,1.0,2818989.9504780583,2818989.9504780583,2818989.9504780583,1.0,4.01192650716904,1226.8856337337584,0.5507196944677024,0.0008176773313492064,107511.71636424786,0.0004033384438514106,0.0004033384438514106,0.0004033384438514106,1.0,1.0,0.0,1.0,14000288956416.0,14000288956416.0,14000288956416.0,1.0,1.0,1.0,7.142709719157073e-14,7.142709719157073e-14,7.142709719157073e-14,-3.2034265038149176e-16,2.6725848385331145e-07,0.0,0.0,1000000.0,0.0,0.0,0.0,patient_TADAVBRLUJ_hospital_43_NFF_image_5.png
